"","GSM461176_untreated_single","GSM461177_untreated_paired","GSM461178_untreated_paired","GSM461179_treated_single","GSM461180_treated_paired","GSM461181_treated_paired","GSM461182_untreated_single"
"FBgn0010247",508.187866496857,400.861507870466,324.132477262497,994.235888845682,439.081303570479,291.886578873492,822.289402870079
"FBgn0086378",524.414474715915,493.188210849378,590.262300699074,1075.846411687,585.815106549389,453.842454925555,1031.22177715059
"FBgn0263977",1400.65131854504,904.567950704783,956.475134658807,1922.55558616568,1064.10009793866,823.504454502016,1290.24904818842
"FBgn0069923",20.6520468242555,5.84346221385519,12.5103763153946,42.3746945522232,20.161896592522,13.7250742417003,28.1020152541037
"FBgn0039955",901.314329258577,666.154692379491,547.044637064074,1081.33942764747,518.608784574315,426.392306442155,1064.21109940541
"FBgn0259821",191.031433124363,176.472558858427,142.163367220393,438.656560272088,348.35276890413,302.866638266852,200.379587029261
"FBgn0027341",17.7017544207904,15.1930017560235,14.7849901909209,32.9580957628403,13.4412643950147,15.5550841405936,10.9964407516058
"FBgn0058198",58.268274968435,56.0972372530098,48.9041983238153,55.7148761705157,40.323793185044,30.1951633317406,63.534991009278
"FBgn0037213",604.072369609472,725.758006960814,586.850379885784,858.479922965411,892.723976902223,1032.12558297586,751.42345135973
"FBgn0053294",118.749269239469,74.7963163373464,70.5130301413152,147.526714366999,34.7232663537878,71.3703860568414,90.4151795132033
"FBgn0037215",7113.15498475427,7458.59516976476,8044.17197079874,6579.84840408133,6718.39198677482,6528.56031430209,7967.5322379135
"FBgn0037217",61.9561404727664,107.519704734935,83.0234064567098,54.1454430389519,71.6867434400781,86.925470197435,62.3131642590996
"FBgn0037218",3155.33772550589,3252.4710682318,3009.31415732129,3036.06839301022,3160.93734356095,3162.25710528774,3378.35096424334
"FBgn0051516",25.077485429453,21.0364639698787,25.0207526307892,18.8331975787659,26.8825287900293,21.9601187867204,28.1020152541037
"FBgn0261436",983.184943454733,1179.21067475598,1230.56610665973,969.124958740661,1036.09746378238,1195.91146892682,1056.88013890434
"FBgn0037220",2084.38158304807,2302.32411225894,2395.16841092919,1906.07653828426,2265.97315592622,2337.83764583628,2243.27391332759
"FBgn0015331",1236.17251705186,1256.34437597887,1249.9003246017,1133.13072098908,1258.99843166637,1353.29232023165,1236.48867118056
"FBgn0010225",21780.5336685808,22099.9740928003,23906.1918317814,15615.85965906,15834.9295626935,15260.4525468718,20056.2861041788
"FBgn0037222",602.597223407739,566.815834743953,567.516161943811,397.851298851429,282.266552295308,355.021920385313,455.741377816552
"FBgn0085334",146.039473971521,77.1337012228885,131.927604780525,53.36072647317,38.0835824525415,35.6851930284207,43.9857630064232
"FBgn0037223",65.6440059770977,52.5911599246967,46.6295844482891,9.41659878938294,13.4412643950147,16.4700890900403,54.9822037580291
"FBgn0037225",127.600146449864,92.326702978912,118.279921527367,141.248981840744,114.250747357625,109.800593933602,90.4151795132033
"FBgn0250821",83.3457603978881,50.2537750391546,92.121861958815,83.1799559728826,82.8877971025904,71.3703860568414,73.3096050107054
